,id,address,number_phone,time_start,time_end
33,33,"г. Волоколамск, пер. Марта 8, д. 465 стр. 6, 525514",+7 353 130 3992,2021-03-17,2021-03-27
34,34,"клх Лесной (Сверд.), пр. Димитрова, д. 29, 472424",8 884 617 2690,2022-02-01,2022-02-02
35,35,"п. Новый Оскол, бул. Огородный, д. 1/5 к. 47, 511477",8 297 500 4389,2020-03-14,2020-03-19
36,36,"ст. Ногинск (Моск.), пер. Брянский, д. 712 стр. 2, 827635",8 (269) 797-3357,2021-12-03,2021-12-05
37,37,"ст. Мытищи, наб. Тамбовская, д. 746, 711832",85868464479,2020-08-21,2020-08-29
38,38,"д. Новосибирск, ул. Геологическая, д. 557 к. 6, 094207",+7 004 686 30 69,2020-09-28,2020-10-05
39,39,"с. Соловки, ул. Вавилова, д. 4/5, 977156",8 (057) 358-5990,2022-01-02,2022-01-07
40,40,"с. Североуральск, пер. Некрасова, д. 211 к. 86, 970822",+7 376 744 9104,2020-03-30,2020-04-03
41,41,"п. Нарткала, алл. Мусы Джалиля, д. 3/2, 271250",+7 138 953 27 61,2020-06-30,2020-07-09
42,42,"к. Кызыл, пер. Портовый, д. 8/9, 469145",8 012 116 7625,2021-07-30,2021-08-03
43,43,"к. Валаам, бул. Хвойный, д. 8 к. 230, 562401",8 (083) 459-32-68,2022-05-19,2022-05-20
44,44,"с. Меренга, алл. Панфилова, д. 6 стр. 7, 984976",84416851453,2020-05-26,2020-06-02
45,45,"клх Сергиев Посад, алл. Фестивальная, д. 52 к. 5, 510319",86510703141,2020-11-21,2020-11-27
46,46,"к. Шелагонцы, пр. Войкова, д. 424 стр. 69, 000310",84604196385,2021-09-04,2021-09-13
47,47,"к. Каменск-Шахтинский, наб. Кузнецова, д. 93 стр. 77, 089969",+7 (271) 861-8281,2022-01-14,2022-01-18
48,48,"с. Шуя, пер. Магистральный, д. 39 стр. 3, 596643",8 (325) 290-46-60,2021-03-19,2021-03-29
49,49,"д. Пушкино (Моск.), бул. Вольный, д. 2/1 стр. 9/1, 557949",+7 (817) 237-7061,2022-09-15,2022-09-16
50,50,"ст. Бомнак, наб. Воронежская, д. 4 стр. 419, 464189",+73963111634,2021-03-23,2021-03-25
51,51,"клх Губкинский, алл. Промышленная, д. 3/6 стр. 833, 838727",+7 158 390 6021,2022-03-08,2022-03-18
52,52,"п. Гаврилов-Ям, пр. Дарвина, д. 763 к. 3/7, 808389",+7 (175) 392-41-65,2020-06-15,2020-06-19
53,53,"ст. Гусь-Хрустальный, пер. Веселый, д. 72, 316323",+75981336629,2020-03-29,2020-04-02
54,54,"к. Новая Игирма, бул. Томский, д. 7, 333626",+7 334 646 00 66,2021-10-20,2021-10-21
55,55,"п. Байкальск, бул. 50 лет Октября, д. 843 к. 30, 576382",+70610190400,2021-09-29,2021-10-03
56,56,"д. Энгельс, бул. Колхозный, д. 162, 963706",8 898 271 19 06,2022-11-20,2022-11-30
57,57,"с. Белогорск (Амур.), пр. Трактовый, д. 3/3 к. 8, 013901",+7 (330) 113-3758,2021-07-21,2021-07-22
58,58,"п. Гатчина, алл. Герцена, д. 9/7 к. 73, 770730",8 590 666 9765,2020-09-30,2020-10-07
59,59,"к. Шумиха, алл. Социалистическая, д. 7/7 стр. 10, 179113",+7 (033) 662-74-88,2020-07-15,2020-07-25
60,60,"к. Белоярский, бул. Громова, д. 9/9 стр. 2, 404006",+7 653 065 2135,2021-06-06,2021-06-11
61,61,"с. Ханты-Мансийск, алл. Владимирская, д. 38 к. 8, 234213",8 552 393 61 69,2020-04-04,2020-04-10
62,62,"к. Североморск, наб. Зеленая, д. 63 к. 10, 290745",8 (934) 029-4558,2020-01-08,2020-01-18
63,63,"к. Мостовской, наб. Достоевского, д. 6 к. 58, 300452",8 967 251 3553,2021-01-18,2021-01-27
64,64,"с. Кострома, ш. Кавказское, д. 3, 494051",+7 581 549 0142,2022-11-13,2022-11-16
65,65,"ст. Торжок, ш. Энгельса, д. 48 стр. 1, 583945",8 (441) 819-29-11,2022-11-20,2022-11-30
66,66,"к. Урай, ш. Ломоносова, д. 7 к. 5/4, 415728",8 (390) 285-1129,2020-11-26,2020-12-02
67,67,"к. Катав-Ивановск, ул. Флотская, д. 9, 580257",+7 (524) 874-38-04,2021-04-12,2021-04-21
68,68,"с. Киров (Вятка), ул. Садовая, д. 9 к. 6, 890963",+7 (536) 754-0924,2020-04-19,2020-04-24
69,69,"к. Грозный, ул. Тамбовская, д. 26 к. 641, 611312",+7 (442) 352-8117,2020-07-22,2020-07-25
70,70,"д. Нягань, пер. Ленский, д. 4, 413973",8 913 420 4001,2022-10-12,2022-10-20
71,71,"ст. Абинск, ш. Фрунзе, д. 13 стр. 9/6, 629588",+74566298196,2020-11-14,2020-11-21
72,72,"г. Карпинск, наб. Дорожников, д. 5/3 к. 174, 905876",8 (549) 717-61-61,2022-01-31,2022-02-02
73,73,"п. Белгород, пр. Троицкий, д. 9 к. 3, 215145",+77426929632,2021-09-01,2021-09-11
74,74,"ст. Можайск, алл. Разина, д. 5 стр. 3, 137153",+7 (813) 354-47-78,2020-03-02,2020-03-10
75,75,"п. Ростов-на-Дону, алл. Смирнова, д. 37 стр. 8/9, 980321",80544687904,2021-02-20,2021-02-22
76,76,"с. Переславль-Залесский, пер. Шолохова, д. 395 стр. 34, 719599",8 031 348 30 61,2019-12-21,2019-12-22
77,77,"к. Джейрах, пер. 9 Января, д. 566 стр. 8, 671277",88314196617,2020-04-02,2020-04-06
78,78,"ст. Качканар, алл. Урожайная, д. 3 стр. 99, 338672",+7 042 573 34 53,2022-06-23,2022-06-29
79,79,"к. Тарко-Сале, ш. Колхозное, д. 5/7, 470877",+7 (273) 722-54-02,2021-10-01,2021-10-08
80,80,"с. Урюпинск, пер. Партизанский, д. 413 к. 64, 863381",+71788363780,2022-06-19,2022-06-25
81,81,"г. Ирбит, пр. Шишкина, д. 225 к. 3, 677592",8 164 991 7531,2020-03-24,2020-03-25
82,82,"к. Южно-Сахалинск, пер. Плеханова, д. 6/6, 271463",+7 (106) 159-51-25,2021-07-22,2021-07-29
83,83,"п. Мелеуз, бул. Зеленый, д. 1, 938555",+78182562205,2022-03-07,2022-03-17
84,84,"г. Дербент, ш. Верхнее, д. 2, 259390",+73347084819,2022-04-20,2022-04-28
85,85,"с. Пермь, пр. Леонова, д. 880 стр. 2, 175866",+7 329 602 7678,2022-04-08,2022-04-12
86,86,"п. Приморско-Ахтарск, ш. Черемушки, д. 1 стр. 692, 749754",8 (587) 714-16-31,2020-02-17,2020-02-19
87,87,"п. Сыктывкар, бул. Л.Толстого, д. 5/6, 053981",+7 516 663 57 05,2022-07-20,2022-07-21
88,88,"ст. Миасс, ул. Маркса Карла, д. 8, 964384",8 (244) 902-0284,2020-03-23,2020-04-01
89,89,"с. Шаховская, бул. Маркса Карла, д. 163 стр. 67, 837731",8 694 633 5752,2020-06-05,2020-06-08
90,90,"клх Курумкан, алл. Дачная, д. 3/7 к. 1/5, 546968",+7 424 389 6167,2020-10-03,2020-10-10
91,91,"с. Междуреченский, ул. Баумана, д. 8, 655925",8 (661) 034-03-92,2020-03-18,2020-03-21
92,92,"п. Томск, наб. Кольцевая, д. 3/5, 258790",+7 (623) 698-02-00,2022-11-19,2022-11-23
93,93,"клх Кандалакша, ул. Котовского, д. 255 к. 91, 069432",82444963110,2021-09-13,2021-09-22
94,94,"ст. Усть-Ордынский, бул. Севастопольский, д. 3/7, 441074",+73880581853,2022-07-14,2022-07-19
95,95,"г. Пышма, пер. Западный, д. 19, 138665",88177789979,2022-05-29,2022-06-05
96,96,"клх Кондопога, ул. Республиканская, д. 48 к. 9/2, 983854",87391880900,2022-05-25,2022-05-31
97,97,"г. Ханты-Мансийск, бул. Глинки, д. 954, 052135",8 967 305 06 93,2020-02-08,2020-02-16
98,98,"д. Клин, алл. Крупской, д. 210 стр. 8, 675502",8 (919) 149-62-43,2021-08-28,2021-08-29
99,99,"д. Невьянск, пр. Володарского, д. 376, 773599",+7 268 350 2676,2021-04-17,2021-04-21
100,100,"ст. Урус-Мартан, алл. Родниковая, д. 86, 499107",+7 640 432 69 25,2022-06-08,2022-06-17
