,id,client_id,product_id,rate
331,331,134,1091,4
332,332,122,251,3
333,333,76,809,4
334,334,142,1286,4
335,335,49,1127,2
336,336,118,858,1
337,337,87,1428,2
338,338,17,183,3
339,339,2,1314,3
340,340,112,1371,4
341,341,134,1094,1
342,342,110,670,3
343,343,7,865,1
344,344,47,330,3
345,345,102,1409,5
346,346,61,288,4
347,347,129,287,4
348,348,1,1060,4
349,349,96,225,5
350,350,148,196,2
351,351,17,231,2
352,352,112,1296,5
353,353,92,1429,4
354,354,20,489,5
355,355,70,1222,4
356,356,106,838,3
357,357,10,1073,3
358,358,143,1088,5
359,359,15,962,2
360,360,116,92,4
361,361,66,1211,4
362,362,79,939,1
363,363,7,547,3
364,364,29,854,3
365,365,83,523,1
366,366,83,815,1
367,367,136,1311,4
368,368,107,1015,4
369,369,38,427,4
370,370,63,1068,4
371,371,131,46,5
372,372,68,1458,4
373,373,58,887,2
374,374,101,1155,2
375,375,139,1060,4
376,376,90,28,4
377,377,45,867,4
378,378,66,501,2
379,379,95,735,3
380,380,74,1277,3
381,381,57,413,3
382,382,49,997,2
383,383,37,1443,3
384,384,129,992,1
385,385,9,603,5
386,386,19,560,1
387,387,115,986,3
388,388,145,403,2
389,389,29,712,2
390,390,22,1270,5
391,391,63,622,2
392,392,77,1321,2
393,393,9,574,4
394,394,100,880,3
395,395,10,448,1
396,396,134,380,4
397,397,28,908,3
398,398,97,406,5
399,399,120,793,2
400,400,18,134,1
